,Book Name,Description,Author,Number of Reviews,Rating,Price,Listening_Time_Minutes,Rank,Genre
75,range how generalist triumph in a specialized world,range is the groundbreaking and exhilarating exploration into how to be successful in the st century from david epstein the acclaimed author of the sport gene,david epstein,1279.0,4.6,323.0,617,105,creativity genius entrepreneurship audible audiobooks original personal success in business
76,sapiens,new york time best seller,yuval noah harari,19994.0,4.6,1171.0,1302,72,anthropology audible audiobooks original anthropology book
77,sapiens,new york time best seller,yuval noah harari,329.0,4.6,1171.0,1302,72,anthropology audible audiobooks original anthropology book
78,everything is f cked a book about hope,from the author of the international mega best seller the subtle art of not giving a f ck come a counterintuitive guide to the problem of hope,mark manson,2390.0,4.3,10378.0,422,85,satire fiction humour book personal success
79,the girl in room,hi i m keshav and my life is screwed i hate my job and my girlfriend left me,chetan bhagat,6643.0,4.3,568.0,503,79,psychological thriller suspense crime thriller
80,eat that frog,there just isn t enough time for everything on our to do list and there never will be successful people don t try to do everything they learn to focus on the most important task and make sure those get done they eat their frog there s an old saying that if the first thing you do each morning is eat a live frog you ll have the satisfaction of knowing you re done with the worst thing you ll have to do all day for tracy eating a frog is a metaphor for tackling your most challenging task but also the one that can have the greatest positive impact on your life eat that frog show you how to organize each day so you can zero in on these critical task and accomplish them efficiently and effectively,brian tracy,2094.0,4.5,351.0,157,57,time management productivity business management business motivation self improvement
81,everything is figureoutable how one simple belief can help u overcome any obstacle and create unstoppable success,brought to you by penguin,marie forleo,1877.0,4.8,888.0,474,82,lifestyle personal style guide book personal success in business personal success
82,a brief history of time from big bang to black hole,brought to you by penguin,stephen hawking,5391.0,4.6,888.0,417,87,physic audible audiobooks original cosmology astronomy audible audiobooks original
83,,george orwell s nightmare vision of a dystopian world ha become more apt in these modern chaotic time casting a pall of oppressive dread from the very first sentence this classic audiobook take hold of your imagination and stay with you long after the last four word are uttered,george orwell,17140.0,4.5,797.0,739,130,dystopian science fiction political fiction literary fiction
84,the alchemist hindi edition,,paulo coelho,796.0,4.4,668.0,396,135,literary fiction religious spiritual fiction personal development
85,the anarchy the relentless rise of the east india company,bloomsbury present the anarchy by william dalrymple read by sid sagar,william dalrymple,1375.0,4.6,1138.0,943,84,military history audible audiobooks original indian history audible audiobooks original colonialism post colonialism
86,zen the art of simple living,penguin present the audiobook edition of zen by shunmyo masuno,shunmyo masuno,256.0,4.7,752.0,157,114,zen buddhism meditation audible audiobooks original stress management
87,poirot s finest case eight full cast bbc radio dramatisation,john moffatt star a the belgian detective hercule poirot,agatha christie,27.0,4.8,1093.0,937,3,
88,loaded money psychology and how to get ahead without leaving your value behind,your most valuable asset is you loaded will teach you how to make the most of it,sarah newcomb,63.0,4.5,586.0,414,56,african american history racism discrimination study violence in society
89,sochiye aur ameer baniye think and be rich,this is a hindi translation of famous best selling classic think and grow rich napoleon hill in this book defines the process by which listener can achieve not just economic success but success in all aspect of life he asserts that it is our mind and thought that shape our action and that lead to success or failure in any venture and the author reveals the secret to it reader through this book of how we can give real shape to our dream and aspiration through right thought right action and right inspiration get a copy of this audiobook and embark on an enriching experience that will inspire and motivate you to work hard and achieve your goal,napoleon hill,2.0,4.5,836.0,670,74,personal success personal development self help
